id,city,team1,team2,winner
892,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
893,Chennai,Chennai Super Kings,Defunct,Chennai Super Kings
894,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
895,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
896,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
897,Cuttack,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
898,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
899,Pune,Defunct,Delhi Capitals,Delhi Capitals
900,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians
901,Pune,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
902,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
903,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings
904,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
905,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
906,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
907,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
908,Cuttack,Sunrisers Hyderabad,Defunct,Sunrisers Hyderabad
909,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals
910,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
911,Pune,Defunct,Mumbai Indians,Mumbai Indians
912,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
913,Kolkata,Kolkata Knight Riders,Defunct,Kolkata Knight Riders
914,Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals
915,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians
916,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
917,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
918,Pune,Defunct,Rajasthan Royals,Rajasthan Royals
919,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
920,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
921,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
922,Pune,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
923,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
924,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
925,Jaipur,Rajasthan Royals,Defunct,Rajasthan Royals
926,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
927,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
928,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
929,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals
930,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
931,Dharamsala,Punjab Kings,Chennai Super Kings,Punjab Kings
932,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
933,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
934,Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals
935,Pune,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
936,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
937,Jaipur,Rajasthan Royals,Mumbai Indians,Mumbai Indians
938,Pune,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
939,Bangalore,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
940,Chennai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
941,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
942,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
943,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
944,Hyderabad,Sunrisers Hyderabad,Defunct,Sunrisers Hyderabad
945,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
946,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
947,Pune,Defunct,Punjab Kings,Punjab Kings
948,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
949,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
950,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings
951,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru
952,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
953,Mumbai,Mumbai Indians,Defunct,Mumbai Indians
954,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
955,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
956,Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals
957,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings
958,Pune,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
959,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
960,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
961,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
962,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
963,Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
964,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
965,Chandigarh,Punjab Kings,Defunct,Punjab Kings
966,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
967,Bangalore,Royal Challengers Bengaluru,Defunct,Royal Challengers Bengaluru
968,Dharamsala,Punjab Kings,Delhi Capitals,Punjab Kings
969,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
970,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
971,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
972,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
973,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
974,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
975,Raipur,Delhi Capitals,Defunct,Delhi Capitals
976,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
977,Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians
978,Pune,Defunct,Chennai Super Kings,Chennai Super Kings
979,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
980,Raipur,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
981,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings
982,Pune,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
983,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
984,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
985,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
986,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians
987,Jaipur,Rajasthan Royals,Defunct,Rajasthan Royals
988,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
989,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
990,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
991,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
992,Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals
993,Pune,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
994,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
