id,city,team1,team2,winner
1152,Bangalore,Royal Challengers Bengaluru,Defunct,Royal Challengers Bengaluru
1153,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
1154,Visakhapatnam,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1155,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1156,Visakhapatnam,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
1157,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
1158,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
1159,Visakhapatnam,Mumbai Indians,Punjab Kings,Punjab Kings
1160,Bangalore,Royal Challengers Bengaluru,Defunct,Royal Challengers Bengaluru
1161,Kolkata,Kolkata Knight Riders,Defunct,Kolkata Knight Riders
1162,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1163,Visakhapatnam,Mumbai Indians,Delhi Capitals,Mumbai Indians
1164,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1165,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
1166,Raipur,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
1167,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
1168,Raipur,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1169,Bangalore,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1170,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
1171,Delhi,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
1172,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
